"scene_id","title","release_year","scene_location","scene_location","production_co","director","filming_type","zip_code","start_date","end_date"
"161412","A Jitney Elopement","1915","20th and Folsom Streets","20th and folsom streets","The Essanay Film Manufacturing Company","Charles Chaplin","TV Film","94110","8/22/2015","8/25/2015"
"154424","A Jitney Elopement","1915","Golden Gate Park","golden gate park","The Essanay Film Manufacturing Company","Charles Chaplin","TV Film","94121","10/20/2015","10/23/2015"
"723843","Greed","1924","Cliff House (1090 Point Lobos Avenue)","cliff house (1090 point lobos avenue)","Metro-Goldwyn-Mayer (MGM)","Eric von Stroheim","Feature Film","94121","5/22/2024","5/25/2024"
"174361","Greed","1924","Bush and Sutter Streets","bush and sutter streets","Metro-Goldwyn-Mayer (MGM)","Eric von Stroheim","Feature Film","94108","11/21/2024","11/24/2024"
"146207","Greed","1924","Hayes Street at Laguna","hayes street at laguna","Metro-Goldwyn-Mayer (MGM)","Eric von Stroheim","Feature Film","94102","6/25/2024","6/28/2024"
"509955","The Jazz Singer","1927","Coffee Dan's (O'Farrell Street at Powell)","coffee dan's (o'farrell street at powell)","Warner Bros. Pictures","Alan Crosland","Feature Film","94102","5/22/2027","5/25/2027"
"685892","After the Thin Man","1936","Coit Tower","coit tower","Metro-Goldwyn Mayer","W.S. Van Dyke","Feature Film","94133","3/22/1936","3/25/1936"
"959667","San Francisco","1936","The Barbary Coast","the barbary coast","Metro-Goldwyn Mayer","W.S. Van Dyke","Feature Film","94103","5/22/1936","5/25/1936"
"726545","San Francisco","1936","City Hall","city hall","Metro-Goldwyn Mayer","W.S. Van Dyke","Feature Film","94102","9/7/1936","9/10/1936"
"686328","Alexander's Ragtime Band","1938","Cliff House (1090 Point Lobos Avenue)","cliff house (1090 point lobos avenue)","Twentieth Century Fox Film Corporation","Henry King","Feature Film","94121","4/20/1938","4/23/1938"
"789059","Alexander's Ragtime Band","1938","San Francisco Bay","san francisco bay","Twentieth Century Fox Film Corporation","Henry King","Feature Film","94114","5/18/1938","5/21/1938"
"421502","Alexander's Ragtime Band","1938","Fairmont Hotel (950 Mason Street, Nob Hill)","fairmont hotel (950 mason street nob hill)","Twentieth Century Fox Film Corporation","Henry King","Feature Film","94108","6/5/1938","6/8/1938"
"941220","Shadow of the Thin Man","1941","Bay Bridge","bay bridge","Metro-Goldwyn Mayer","W.S. Van Dyke","Feature Film","94612","3/10/1941","3/13/1941"
"349761","The Maltese Falcon","1941","Golden Gate Bridge","golden gate bridge","Warner Bros. Pictures","John Huston","Feature Film","94129","1/20/1941","1/23/1941"
"865799","The Maltese Falcon","1941","Ferry Building","ferry building","Warner Bros. Pictures","John Huston","Feature Film","94105","10/23/1941","10/26/1941"
"285657","The Maltese Falcon","1941","Burritt Alley (Off Bush Street, between Powell and Stockton Streets)","burritt alley (off bush street between powell and stockton streets)","Warner Bros. Pictures","John Huston","Feature Film","94108","3/21/1941","3/24/1941"
"113609","Gentleman Jim","1942","The Barbary Coast","the barbary coast","Warner Bros. Pictures","Raoul Walsh","Feature Film","94103","4/7/1942","4/10/1942"
"598845","Dark Passage","1947","Golden Gate Bridge","golden gate bridge","Warner Bros. Pictures","Delmer Daves","Feature Film","94129","5/10/1947","5/13/1947"
"783918","Dark Passage","1947","The Malloch Apartment Building (1360 Montgomery Street)","the malloch apartment building (1360 montgomery street)","Warner Bros. Pictures","Delmer Daves","Feature Film","94133","11/23/1947","11/26/1947"
"491481","Dark Passage","1947","Filbert Steps, Filbert Street","filbert steps filbert street","Warner Bros. Pictures","Delmer Daves","Feature Film","94123","8/28/1947","8/31/1947"
"621507","Nora Prentiss","1947","Belgravia Apartments (795 Sutter Street at Jones)","belgravia apartments (795 sutter street at jones)","Warner Bros. Pictures","Vincent Sherman","Feature Film","94109","4/23/1947","4/26/1947"
